SKU,MEDIDA,MARCA,MODELO,UNIDAD,X2,X4,WEB,Columna1,PROMO,INSTALACION,Columna 1
,175/70R14,GOODRIDE,AT,60.000,,220.000,59.900,,,Sí,
1757014NXAH5,175/70R14,NEXEN,NPRIZ AH5,,,211.600,52.900,4,LIQUIDACIÓN,Sí,
1757014PRP400,175/70R14,PIRELLI,P400 EVO,,,279.600,69.900,4,LIQUIDACIÓN,Sí,
,175/70R14,ROADWING,RW581,37.000,,135.000,37.900,,,Sí,
,175/70R14,SONIX,ECOPRO 99,40.000,,150.000,38.900,,,Sí,
1757014ROADRA63,175/70R14,ROADCRUZA,RA630,45.000,,160.000,39.900,,,Sí,
,175/80R14,GOODRIDE,AT,60.000,,220.000,59.900,,,Sí,
,175/80R14,SUMAXX,AT,75.000,,280.000,74.900,,,Sí,76.900
,185R14C,ROADMARCH,PRIMEVAN 9,60.000,,230.000,59.900,,,Sí,
,185R14C,ROADWING,RW05,57.000,,210.000,54.900,,,Sí,
1854515OTIONU11R,185/45R15,ROADX,U11,50.000,,190.000,49.900,,,Sí,51.900
1855514APT203,185/55R14,APTANY,RP203,42.000,,150.000,39.900,,,Sí,
,185/55R14,ROADMARCH,ECOPRO 99,45.000,,165.000,44.900,,,Sí,
1855515ROADMEC99,185/55R15,ROADMARCH,ECOPRO 99,45.000,,170.000,39.900,,,Sí,
,185/55R15,GOODRIDE,RP 28,,100.000,,50.900,,,Sí,
1855516BRIDECO,185/55R16,BRIDGESTONE,ECOPIA EP150,,,479.600,119.900,4,LIQUIDACIÓN,Sí,
1855516ROADH12,185/55R16,ROADX,H12,55.000,,200.000,55.900,,,Sí,58.900
1855516SPR1,185/55R16,DUNLOP,SPR1,85.000,,320.000,89.900,,,Sí,
1855516ROADMEC99,185/55R16,ROADMARCH,ECOPRO 99,48.000,,170.000,44.900,,,Sí,
,185/55R16,GOODRIDE,RP 28,,109.800,,54.900,2,LIQUIDACIÓN,Sí,
,185/55R16,NEXEN,NFERA SU1,700.000,,299.600,74.900,4,LIQUIDACIÓN,Sí,
1856013GRENCOLO,185/60R13,GREENLANDER,COLO H01,42.000,,150.000,44.900,,,Sí,
,185/60R13,MIRAGE,,42.000,,150.000,44.900,,,Sí,
1856014APT,185/60R14,APTANY,RP203,40.000,,140.000,39.900,,,Sí,
,185/60R14,GOODRIDE,RP 28,45.000,,160.000,44.900,,,Sí,
1856014NXNPAH5,185/60R14,NEXEN,NPRIZ AH5,,,219.600,54.900,4,LIQUIDACIÓN,Sí,
1856015NXCP672,185/60R15,NEXEN,CP672,,,279.600,69.900,4,LIQUIDACIÓN,Sí,
1856015PRP1,185/60R15,PIRELLI,CINTURATO P1,,,319600,79.900,4,LIQUIDACIÓN,Sí,
1856015SPT1TH,185/60R15,DUNLOP,SPT1,85.000,,319.600,79.900,4,LIQUIDACIÓN,Sí,
1856015APT203,185/60R15,APTANY,RP203,45.000,,170.000,41.900,,,Sí,
,185/60R15,MINNEL,,45.000,,170.000,41.900,,,Sí,
1856514GRENCOLO,185/65R14,GREENLANDER,COLO H02,40.000,,150.000,39.900,,,Sí,
,185/65R14,ROADMARCH,PRIME AS HUELLA V,,90.000,175.000,44.900,,,Sí,
1856514PRP400,185/65R14,PIRELLI,P400 EVO,,,271.600,67.900,4,LIQUIDACIÓN,Sí,
1856514ROADH11,185/65R14,ROADX,H11,45.000,,170000,48.900,,,Sí,51.900
1856514NXGX,185/65R14,NEXEN,NPRIZ GX,,,219.600,54.900,4,LIQUIDACIÓN,Sí,
1856515DOUBDK768,185/65R15C,DOUBLE KING,DK768,68.000,,260.000,64.900,,,Sí,
1856515NXGX,185/65R15,NEXEN,NPRIZ GX,,,219.600,54.900,4,LIQUIDACIÓN,Sí,
,185/65R15,NEXEN,NBLUE HD,,,319.600,79.900,4,LIQUIDACIÓN,Sí,
1856515NXNBHDPL,185/65R15,NEXEN,NBLUE HD PLUS,,,279.600,69.900,4,LIQUIDACIÓN,Sí,
,185/65R15,SONIX,ECOPRO 99,45.000,,170.000,44.900,,,Sí,
1856515SPR1,185/65R15,DUNLOP,SPR1,80.000,,310.000,81.900,,,Sí,
1856515ROADH1292,185/65R15,ROADX,H12,52.000,,190.000,52.900,,,Sí,55.900
,185/70R13,ROADMARCH,PRIMESTAR 66,40.000,,150.000,39.900,,,Sí,
1857013OTIONH11R,185/70R13,ROADX,H11,45.000,,170.000,49.900,,,Sí,52.900
,185/70R14,WANLI,SP026,43.000,,160.000,42.900,,,Sí,
1857014ROADH11,185/70R14,ROADX,H11,48.000,,180.000,48.900,,,Sí,51.900
,195/40ZR17,LING LONG,GREEN MAX,55.000,,200.000,52.900,,,Sí,
1954017OTIONU11R,195/40ZR17,ROADX,U11,65.000,,240.000,64.900,,,Sí,69.900
,195/40ZR17,SONIX,LZEAL 56 C/CUBRE PESTAÑA,70.000,,260.000,69.900,,,Sí,
1954515ROADH12,195/45R15,ROADX,H12,55.000,,200.000,54.900,,,Sí,57.900
1954515ROADMLZ56,195/45R15,ROADMARCH,LZEAL 56,48.000,,180.000,44.900,,,Sí,
,195/45R15,WANLI,SP 026,45.000,,170.000,44.900,,,Sí,
1954516ROADH12,195/45R16,ROADX,H12,55.000,,200.000,54.900,,,Sí,57.900
,195/45R16,ROADMARCH,UHP 08,52.000,,190.000,49.900,,,Sí,
,195/45R17,SONIX,UHP 08,70.000,,260.000,69.900,,,Sí,
1955015NXGX,195/50R15,NEXEN,NPRIZ GX,,,219.600,54.900,4,LIQUIDACIÓN,Sí,
1955015ROADH12,195/50R15,ROADX,H12,50.000,,190.000,49.900,,,Sí,52.900
,195/50R15,SONIX,ECOPRO 99,45.000,,170.000,44.900,,,Sí,
1955015SUMADR1,195/50R15,SUMAXX,MAX SPEED R1,,110.000,199.600,49.900,4,LIQUIDACIÓN,Sí,56.900
1955015SUMADRIFTX,195/50R15,SUMAXX,MAX DRIFTING X,55.000,,215.000,54.900,,,Sí,64.900
,195/50R15,WANLI,SPORT RACING,,,191.600,47.900,4,LIQUIDACIÓN,Sí,
1955016PRP7,195/50R16,PIRELLI,CINTURATO P7,,,399.600,99.900,4,LIQUIDACIÓN,Sí,
1955016ROADH12,195/50R16,ROADX,H12,55.000,,210.000,54.900,,,Sí,58.900
,195/50R16,GOODRIDE,RP 28,57.000,,210.000,56.900,,,Sí,
,195/50R16,WANLI,SP 06,50.000,,185.000,49.900,,,Sí,
1955510WR301W,195/55R10,WANDA,WR301,50.000,,190.000,49.900,,,Sí,
1955515AGLEL600L,195/55R15,LENSTONE,,45.000,,170.000,44.900,,,Sí,
,195/55R15,SONIX,ECOPRO 99,48.000,,180.000,47.900,,,Sí,
