SKU;MEDIDA;MARCA;MODELO;UNIDAD;X2;X4;WEB;Columna1;PROMO;INSTALACION;Columna 1
;185/45R15;WINDFORCE;CATCHFORS HP;50.000;;190.000;49.900;;;Sí;
;185/45R15;ROADX;U11;55.000;;210.000;49.900;;;Sí;51.900
;185/50R16;ROADMARCH;PRIMESTAR 66  ;;;170.000;;;;Sí;
;185/55R14;ROADMARCH;ECOPRO 99;45.000;;170.000;44.900;;;Sí;
;185/55R15;ROADMARCH;ECOPRO 99;45.000;;175.000;39.900;;;Sí;
;185/55R15;GOODRIDE;RP 28;50.000;;190000;;;;Sí;
;185/55R16;ROADX;H12;55.000;;210.000;49.900;;;Sí;
;185/55R16;ROADMARCH;ECOPRO 99;48.000;;180.000;44.900;;;Sí;58.900
;185/55R16;GOODRIDE;RP 28;60.000;;220.000;51.900;;;Sí;
;185/55R16;NEXEN;NFERA SU1;85.000;;320.000;84.900;;;Sí;
;185/60R13;GREENLANDER;COLO H01;45.000;;160000;44.900;;;Sí;
;185/60R13;MIRAGE;;45.000;;160.000;44.900;;;Sí;
;185/60R14;APTANY;RP203;40.000;;150.000;39.900;;;Sí;
;185/60R14;GOODRIDE;RP 28;45.000;;170.000;39.900;;;Sí;
;185/60R14;NEXEN;NPRIZ AH5;;;240.000;59.900;;;Sí;
;185/60R15;NEXEN;CP672;;;290.000;74.900;;;Sí;
;185/60R15;DUNLOP ;SPT1;85.000;;330.000;83.900;;;Sí;
;185/60R15;APTANY;RP203;45.000;;170.000;39.900;;;Sí;
;185/60R15;SONIX;ECOPRO 99;45.000;;170000;42.900;;;Sí;
;185/60R15;NEXEN;NPRIZ GX;65.000;;240.000;59.900;;;Sí;
;185/60R15;NEXEN;NPRIZ AH8;75.000;;290.000;74.900;;;Sí;
;185/60R15;GOODRIDE;RP 28;50.000;;190.000;49.900;;;Sí;
;185/65R14;SONIX;ECOPRO 99;40.000;;155.000;37.900;;;Sí;
;185/65R14;ROADMARCH;PRIME AS HUELLA V;;90.000;175.000;44.900;;;Sí;
;185/65R14;ROADX;H11;45.000;;175.000;44.900;;;Sí;
;185/65R14;NEXEN;NPRIZ GX;60.000;;220000;54.900;;;Sí;51.900
;185/65R15C;DOUBLE KING;DK768;68.000;;260.000;64.900;;;Sí;
;185/65R15;NEXEN;NPRIZ GX;60.000;;220.000;54.900;;;Sí;
;185/65R15;NEXEN;NBLUE HD  ;80.000;;300.000;74.900;;;Sí;
;185/65R15;NEXEN ;NBLUE HD PLUS;75.000;;280.000;69.900;;;Sí;
;185/65R15;SONIX;ECOPRO 99;45.000;;175.000;44.900;;;Sí;
;185/65R15;DUNLOP ;SPR1;80.000;;310.000;79.900;;;Sí;
;185/65R15;ROADX;H12;52.000;;200.000;49.900;;;Sí;
